City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
261,Mashhad,36.3,59.61,39.2,86,90,1.7,IR,overcast clouds,2020-12-18 03:36:15
262,Nanortalik,60.14,-45.24,30.31,96,36,3.6,GL,scattered clouds,2020-12-18 03:39:49
263,Maningrida,-12.07,134.27,83.86,76,100,13.6,AU,moderate rain,2020-12-18 03:39:50
264,Zwedru,6.07,-8.13,72.27,96,65,3.0,LR,broken clouds,2020-12-18 03:39:50
265,Fukue,32.69,128.84,50.0,53,40,10.29,JP,scattered clouds,2020-12-18 03:39:50
266,Half Moon Bay,37.46,-122.43,50.0,87,20,8.05,US,mist,2020-12-18 03:39:50
267,Vanino,49.09,140.25,5.49,72,100,10.89,RU,overcast clouds,2020-12-18 03:39:50
268,Sabang,5.89,95.32,79.14,86,100,17.18,ID,light rain,2020-12-18 03:39:51
269,Krasnoselkup,65.7,82.47,-0.92,92,100,15.84,RU,overcast clouds,2020-12-18 03:39:51
270,Kharan,28.58,65.42,54.27,34,0,3.27,PK,clear sky,2020-12-18 03:39:51
271,Ahuimanu,21.44,-157.84,80.6,73,40,11.41,US,scattered clouds,2020-12-18 03:39:51
272,Prince Rupert,54.32,-130.32,41.0,93,90,23.04,CA,mist,2020-12-18 03:39:51
273,Talnakh,69.49,88.4,-0.4,77,40,20.13,RU,light snow,2020-12-18 03:37:26
274,Lop Buri,14.8,100.65,80.01,64,12,7.0,TH,few clouds,2020-12-18 03:39:51
275,Lumeje,-11.55,20.78,65.16,95,100,5.75,AO,overcast clouds,2020-12-18 03:39:52
276,Nanning,22.82,108.32,48.2,70,90,11.18,CN,overcast clouds,2020-12-18 03:39:52
277,Heihe,50.24,127.49,-2.2,40,20,17.9,CN,few clouds,2020-12-18 03:39:52
278,Wuda,39.5,106.71,19.29,75,95,2.1,CN,overcast clouds,2020-12-18 03:39:52
279,Barcs,45.96,17.46,33.69,93,81,0.76,HU,broken clouds,2020-12-18 03:39:52
280,Abha,18.22,42.51,53.6,87,20,6.93,SA,few clouds,2020-12-18 03:39:53
